$R,~\text{кОм}$&50&40&35&30&25&20&15&10&5
$l,\text{см}$&17.1&16.4&15.9&15.3&15&14&12.3&10.4&7.1
$\frac{1}{R + R_0},~\text{Ом}^{-1}\cdot10^5$&1.98&2.47&2.82&3.28&3.93&4.88&6.46&9.55&18.26
